2.74E-01+9.31E-06i, -6.73E+00-4.86E-06i, 3.00E-02-2.22E-06i, 
5.44E-01+9.80E-06i, -6.68E+00-9.64E-06i, 6.00E-02-2.12E-06i, 
8.06E-01+1.06E-05i, -6.61E+00-1.43E-05i, 8.97E-02-1.96E-06i, 
1.06E+00+1.17E-05i, -6.50E+00-1.87E-05i, 1.19E-01-1.73E-06i, 
1.29E+00+1.30E-05i, -6.36E+00-2.27E-05i, 1.48E-01-1.44E-06i, 
1.51E+00+1.45E-05i, -6.19E+00-2.65E-05i, 1.77E-01-1.10E-06i, 
1.71E+00+1.61E-05i, -6.00E+00-2.98E-05i, 2.05E-01-7.08E-07i, 
1.89E+00+1.78E-05i, -5.79E+00-3.27E-05i, 2.32E-01-2.70E-07i, 
2.03E+00+1.95E-05i, -5.56E+00-3.51E-05i, 2.58E-01+2.07E-07i, 
2.15E+00+2.11E-05i, -5.31E+00-3.70E-05i, 2.84E-01+7.18E-07i, 
2.25E+00+2.26E-05i, -5.06E+00-3.84E-05i, 3.08E-01+1.25E-06i, 
2.31E+00+2.39E-05i, -4.79E+00-3.94E-05i, 3.32E-01+1.81E-06i, 
2.33E+00+2.49E-05i, -4.52E+00-3.99E-05i, 3.54E-01+2.37E-06i, 
2.33E+00+2.55E-05i, -4.24E+00-4.00E-05i, 3.75E-01+2.94E-06i, 
2.29E+00+2.58E-05i, -3.97E+00-3.98E-05i, 3.95E-01+3.50E-06i, 
2.23E+00+2.57E-05i, -3.70E+00-3.92E-05i, 4.13E-01+4.05E-06i, 
2.13E+00+2.52E-05i, -3.45E+00-3.84E-05i, 4.30E-01+4.58E-06i, 
2.00E+00+2.42E-05i, -3.21E+00-3.74E-05i, 4.46E-01+5.09E-06i, 
1.84E+00+2.28E-05i, -2.98E+00-3.62E-05i, 4.60E-01+5.56E-06i, 
1.66E+00+2.09E-05i, -2.77E+00-3.51E-05i, 4.72E-01+5.98E-06i, 
1.46E+00+1.86E-05i, -2.59E+00-3.39E-05i, 4.83E-01+6.36E-06i, 
1.24E+00+1.60E-05i, -2.43E+00-3.28E-05i, 4.92E-01+6.69E-06i, 
9.96E-01+1.30E-05i, -2.30E+00-3.19E-05i, 5.00E-01+6.96E-06i, 
